bill,key,value
第204回国会閣法第15号,TAG,職員削減
第204回国会閣法第15号,TAG,裁判所
第204回国会閣法第16号,ALIAS,義務教育標準法改正案
第204回国会閣法第16号,TAG,小学校
第204回国会閣法第16号,TAG,少人数学級
第204回国会閣法第17号,ALIAS,改正医療法
第204回国会閣法第17号,TAG,医師
第204回国会閣法第17号,TAG,働き方改革
第204回国会閣法第18号,ALIAS,流域治水関連法
第204回国会閣法第18号,TAG,水災害
第204回国会閣法第18号,TAG,氾濫
第204回国会閣法第18号,TAG,流域治水
第204回国会閣法第19号,TAG,自衛隊
第204回国会閣法第19号,TAG,インド
第204回国会閣法第20号,ALIAS,文化財保護法改正案
第204回国会閣法第20号,TAG,登録制度
第204回国会閣法第20号,TAG,無形文化財
第204回国会閣法第20号,TAG,無形民俗文化財
第204回国会閣法第21号,TAG,医療費負担
第204回国会閣法第21号,TAG,子育て支援
第204回国会閣法第22号,TAG,B型肝炎
第204回国会閣法第22号,TAG,給付金
第204回国会閣法第23号,ALIAS,改正産業競争力強化法
第204回国会閣法第23号,TAG,グリーン社会
第204回国会閣法第23号,TAG,デジタル改革
第204回国会閣法第23号,TAG,経済成長
第204回国会閣法第24号,TAG,造船
第204回国会閣法第24号,TAG,働き方改革
第204回国会閣法第25号,TAG,住宅循環
第204回国会閣法第26号,TAG,デジタル改革
第204回国会閣法第27号,TAG,デジタル改革
第204回国会閣法第28号,TAG,デジタル改革
第204回国会閣法第28号,TAG,マイナンバー
第204回国会閣法第28号,TAG,個人情報
第204回国会閣法第29号,TAG,デジタル改革
第204回国会閣法第29号,TAG,マイナンバー
第204回国会閣法第29号,TAG,口座
第204回国会閣法第30号,TAG,口座
第204回国会閣法第30号,TAG,デジタル改革
第204回国会閣法第30号,TAG,マイナンバー
第204回国会閣法第31号,TAG,デジタル改革
第204回国会閣法第31号,TAG,自治体
第204回国会閣法第32号,TAG,大使館
第204回国会閣法第33号,TAG,造林
第204回国会閣法第33号,TAG,カーボンニュートラル
第204回国会閣法第34号,TAG,国際競争力
第204回国会閣法第35号,ALIAS,改正少年法
第204回国会閣法第35号,TAG,実名報道
第204回国会閣法第35号,TAG,厳罰化
第204回国会閣法第36号,ALIAS,入管法改正案
第204回国会閣法第36号,TAG,入管
第204回国会閣法第36号,TAG,難民
第204回国会閣法第37号,TAG,クロスボウ
第204回国会閣法第37号,TAG,所持禁止
第204回国会閣法第38号,ALIAS,改正プロバイダー法
第204回国会閣法第38号,TAG,SNS
第204回国会閣法第38号,TAG,誹謗中傷
第204回国会閣法第38号,TAG,投稿者特定
第204回国会閣法第40号,TAG,農林水産業
第204回国会閣法第40号,TAG,投資
第204回国会閣法第41号,ALIAS,改正ストーカー規制法
第204回国会閣法第41号,TAG,ストーカー
第204回国会閣法第41号,TAG,GPS
第204回国会閣法第42号,ALIAS,改正育児・介護休業法
第204回国会閣法第42号,TAG,育休
第204回国会閣法第43号,TAG,瀬戸内海
第204回国会閣法第43号,TAG,生物多様性
第204回国会閣法第44号,TAG,大学
第204回国会閣法第45号,TAG,建築基準緩和
第204回国会閣法第45号,TAG,畜舎
第204回国会閣法第46号,TAG,デジタル化
第204回国会閣法第46号,TAG,特許
第204回国会閣法第47号,ALIAS,地球温暖化対策推進法改正案
第204回国会閣法第47号,ALIAS,温対法改正案
第204回国会閣法第47号,TAG,グリーン社会
第204回国会閣法第47号,TAG,地球温暖化
第204回国会閣法第48号,TAG,国立公園
第204回国会閣法第49号,TAG,船舶
第204回国会閣法第49号,TAG,台風
第204回国会閣法第50号,TAG,自然災害
第204回国会閣法第50号,TAG,避難指示
第204回国会閣法第51号,TAG,地方
第204回国会閣法第51号,TAG,自主性
第204回国会閣法第52号,ALIAS,銀行法改正案
第204回国会閣法第52号,TAG,銀行
第204回国会閣法第52号,TAG,デジタル化
第204回国会閣法第52号,TAG,地方創生
第204回国会閣法第53号,TAG,消費者保護
第204回国会閣法第53号,TAG,オンラインモール
第204回国会閣法第53号,TAG,出品停止
第204回国会閣法第54号,TAG,消費者保護
第204回国会閣法第54号,TAG,通販
第204回国会閣法第54号,TAG,販売預託
第204回国会閣法第55号,ALIAS,所有者不明土地法
第204回国会閣法第55号,TAG,土地
第204回国会閣法第55号,TAG,所有者不明
第204回国会閣法第55号,TAG,相続登記
第204回国会閣法第56号,TAG,土地
第204回国会閣法第56号,TAG,所有者不明
第204回国会閣法第56号,TAG,相続登記
第204回国会閣法第57号,ALIAS,著作権法改正案
第204回国会閣法第57号,TAG,著作権
第204回国会閣法第57号,TAG,図書館
第204回国会閣法第57号,TAG,ネット同時配信
第204回国会閣法第58号,TAG,金融システム
第204回国会閣法第58号,TAG,農林中金
第204回国会閣法第59号,ALIAS,障害者差別解消法改正案
第204回国会閣法第59号,TAG,障害者
第204回国会閣法第59号,TAG,差別
第204回国会閣法第60号,ALIAS,航空法改正案
第204回国会閣法第60号,TAG,ドローン
第204回国会閣法第60号,TAG,経営支援
第204回国会閣法第60号,TAG,航空会社
第204回国会閣法第61号,ALIAS,プラ新法
第204回国会閣法第61号,ALIAS,プラ資源循環法
第204回国会閣法第61号,ALIAS,プラスチック資源循環促進法
第204回国会閣法第61号,TAG,プラスチック
第204回国会閣法第61号,TAG,資源循環
第204回国会閣法第62号,ALIAS,土地取引規制法案
第204回国会閣法第62号,ALIAS,重要土地規制法
第204回国会閣法第62号,ALIAS,重要土地法案
第204回国会閣法第62号,TAG,土地規制
第204回国会閣法第62号,TAG,安全保障
第204回国会閣法第63号,TAG,国家公務員
第204回国会閣法第63号,TAG,定年引き上げ
第204回国会参法第33号,TAG,政治資金
第204回国会参法第33号,TAG,収支報告書
第204回国会参法第34号,TAG,男女共同参画
第204回国会参法第34号,TAG,政治
第204回国会衆法第18号,TAG,自然災害義援金
第204回国会衆法第18号,TAG,差押え
第204回国会衆法第19号,ALIAS,児童生徒性暴力防止法
第204回国会衆法第19号,TAG,わいせつ教員
第204回国会衆法第19号,TAG,免許再交付
第204回国会衆法第20号,TAG,災害時
第204回国会衆法第20号,TAG,船舶
第204回国会衆法第20号,TAG,医療
第204回国会衆法第21号,TAG,オリンピック
第204回国会衆法第21号,TAG,覚醒剤
第204回国会衆法第21号,TAG,治療薬
第204回国会衆法第23号,TAG,強制労働
第204回国会衆法第23号,TAG,廃止
第204回国会衆法第24号,TAG,国会職員
第204回国会衆法第24号,TAG,定年引き上げ
第204回国会衆法第25号,TAG,地下水
第204回国会衆法第25号,TAG,保全
第204回国会衆法第26号,TAG,人材育成
第204回国会衆法第26号,TAG,鳥獣被害
第204回国会衆法第26号,TAG,	農林水産業
第204回国会衆法第28号,TAG,アスベスト
第204回国会衆法第28号,TAG,給付金
第204回国会衆法第30号,TAG,木材
第204回国会衆法第30号,TAG,グリーン社会
第204回国会衆法第32号,TAG,コロナ
第204回国会衆法第32号,TAG,郵便投票
第204回国会衆法第32号,TAG,選挙
第204回国会衆法第33号,TAG,中小事業主
第204回国会衆法第33号,TAG,共済
第204回国会衆法第34号,TAG,医療的ケア児
第204回国会衆法第36号,TAG,コロナ
第204回国会衆法第36号,TAG,差別
第204回国会衆法第37号,TAG,宇宙資源
第204回国会衆法第37号,TAG,人工衛星
第204回国会衆法第38号,TAG,かかりつけ医
